Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,SalaryIncrease,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HighPerformance
38,No,Travel_Rarely,Research & Development,16,3,3,Female,3,Healthcare Representative,3,Married,9824,3,Y,No,19,3,1,18,4,3,1,0,0,0,0
35,Yes,Travel_Rarely,Sales,24,2,1,Male,1,Sales Executive,4,Divorced,5440,6,Y,Yes,14,4,2,7,2,2,2,2,2,2,0
34,No,Travel_Rarely,Sales,23,3,3,Female,3,Sales Representative,3,Divorced,2579,1,Y,Yes,18,4,2,8,3,3,8,2,0,6,0
43,No,Travel_Rarely,Research & Development,13,3,1,Female,3,Manufacturing Director,2,Divorced,4765,4,Y,No,21,3,1,4,2,4,1,0,0,0,1
31,No,Non-Travel,Research & Development,5,2,3,Male,3,Research Scientist,1,Divorced,3065,1,Y,Yes,13,4,1,4,3,4,4,2,2,3,0
37,No,Travel_Rarely,Research & Development,8,2,4,Male,3,Manufacturing Director,4,Divorced,6347,7,Y,No,16,3,2,8,2,2,6,2,0,4,0
28,No,Travel_Frequently,Research & Development,2,4,4,Male,3,Laboratory Technician,3,Single,2154,0,Y,Yes,11,3,0,5,2,2,4,2,0,2,0
43,No,Travel_Rarely,Human Resources,3,3,2,Male,3,Human Resources,4,Single,3539,0,Y,No,13,2,0,10,5,3,9,7,1,8,0
27,No,Travel_Rarely,Research & Development,11,3,4,Female,2,Healthcare Representative,1,Single,6811,8,Y,No,19,1,0,9,2,1,7,6,0,7,0
31,No,Travel_Rarely,Human Resources,3,3,1,Male,2,Human Resources,1,Married,6410,3,Y,No,12,4,0,9,1,1,2,2,1,0,0
19,Yes,Travel_Rarely,Human Resources,3,2,1,Male,2,Human Resources,4,Single,2564,1,Y,No,12,3,0,1,3,4,1,0,0,0,0
30,No,Travel_Rarely,Research & Development,3,3,3,Male,2,Healthcare Representative,4,Married,4152,1,Y,No,19,1,3,11,3,3,11,10,10,8,0
54,No,Travel_Frequently,Research & Development,2,4,4,Female,3,Manufacturing Director,3,Divorced,10502,7,Y,No,17,1,1,33,2,1,5,4,1,4,0
35,No,Travel_Rarely,Research & Development,14,4,3,Male,2,Healthcare Representative,2,Single,6540,9,Y,No,19,3,0,10,5,3,1,1,0,0,0
27,No,Non-Travel,Research & Development,5,3,4,Male,3,Research Scientist,4,Married,1706,1,Y,No,11,3,3,0,6,2,0,0,0,0,0
37,No,Non-Travel,Sales,31,2,1,Male,3,Sales Executive,2,Single,7642,1,Y,Yes,13,4,0,10,2,3,10,0,0,9,0
47,Yes,Non-Travel,Research & Development,47,4,1,Male,3,Manager,2,Married,11849,1,Y,Yes,12,4,1,10,2,2,10,7,9,9,0
29,No,Travel_Frequently,Research & Development,2,3,4,Male,4,Healthcare Representative,3,Single,6294,8,Y,Yes,12,4,0,10,5,4,3,2,0,2,0
54,No,Travel_Rarely,Research & Development,13,4,3,Female,3,Laboratory Technician,3,Single,3780,7,Y,No,11,3,0,19,3,3,1,0,0,0,0
37,No,Travel_Rarely,Research & Development,16,2,4,Male,4,Research Scientist,4,Single,4680,3,Y,No,17,1,0,4,2,3,1,0,0,0,0
24,No,Travel_Rarely,Research & Development,47,1,2,Male,3,Laboratory Technician,1,Divorced,3907,1,Y,No,13,2,3,6,2,4,6,2,1,2,0
25,No,Travel_Rarely,Sales,5,1,3,Male,3,Sales Executive,1,Married,4194,1,Y,Yes,18,4,0,5,3,3,5,3,0,3,0
45,No,Travel_Rarely,Research & Development,10,4,4,Male,3,Research Director,1,Married,13245,4,Y,Yes,14,2,0,17,3,4,0,0,0,0,0
24,No,Travel_Rarely,Sales,5,2,1,Female,3,Sales Executive,3,Married,4999,0,Y,No,21,1,1,4,2,2,3,2,0,2,1
29,No,Travel_Rarely,Sales,3,3,1,Male,2,Sales Executive,2,Married,6644,2,Y,No,19,2,2,10,2,3,0,0,0,0,0
35,No,Travel_Rarely,Research & Development,14,4,2,Male,3,Research Scientist,3,Single,5098,1,Y,No,19,2,0,10,5,3,10,7,0,8,0
26,No,Travel_Rarely,Sales,16,3,3,Male,3,Sales Executive,4,Single,4684,1,Y,No,13,1,0,5,4,3,5,3,1,2,0
25,No,Travel_Rarely,Sales,6,2,2,Female,2,Sales Executive,4,Single,4487,1,Y,Yes,11,2,0,5,3,3,5,4,1,3,0
28,No,Travel_Rarely,Sales,8,4,1,Male,3,Sales Executive,4,Single,4908,1,Y,No,14,2,0,4,3,3,4,2,0,2,0
31,No,Travel_Rarely,Research & Development,18,4,4,Male,3,Research Scientist,4,Married,2356,3,Y,Yes,19,2,1,8,2,3,6,4,0,2,0
46,No,Travel_Rarely,Research & Development,3,4,3,Male,3,Research Director,4,Divorced,19328,7,Y,Yes,17,3,1,24,3,3,2,1,2,2,0
34,No,Travel_Rarely,Sales,45,3,4,Female,2,Sales Executive,3,Married,6712,1,Y,No,21,4,2,8,2,3,8,7,1,7,1
55,No,Travel_Rarely,Research & Development,3,4,2,Male,2,Research Scientist,4,Married,2662,8,Y,No,20,2,1,19,2,4,5,2,0,4,1
34,No,Travel_Rarely,Sales,2,4,2,Male,4,Sales Executive,4,Divorced,9725,0,Y,No,11,4,1,16,2,2,15,1,0,9,0
47,No,Travel_Rarely,Sales,3,4,2,Female,4,Manager,2,Divorced,15972,6,Y,No,14,3,3,29,2,3,3,2,1,2,0
42,No,Travel_Rarely,Research & Development,11,4,2,Female,4,Research Scientist,2,Married,2372,6,Y,Yes,16,4,0,18,2,3,1,0,0,0,0
24,Yes,Travel_Rarely,Sales,2,1,1,Female,3,Sales Representative,2,Single,3202,1,Y,Yes,16,2,0,6,4,3,5,3,1,4,0
23,No,Travel_Rarely,Research & Development,6,3,1,Male,4,Research Scientist,1,Married,2819,2,Y,No,16,1,1,5,3,4,3,2,0,2,0
46,No,Travel_Rarely,Sales,16,3,3,Female,2,Sales Executive,4,Married,9071,2,Y,Yes,19,3,1,15,3,3,3,2,1,2,0
31,No,Travel_Rarely,Research & Development,8,4,3,Male,3,Research Scientist,4,Married,4821,0,Y,Yes,12,3,1,6,4,3,5,2,0,3,0
53,No,Travel_Rarely,Sales,2,1,4,Female,3,Sales Executive,1,Single,8381,7,Y,No,20,4,0,18,2,4,14,7,8,10,1
35,No,Travel_Rarely,Research & Development,2,3,4,Female,2,Laboratory Technician,4,Married,5363,0,Y,No,12,2,1,10,0,3,9,7,0,0,0
37,No,Travel_Rarely,Research & Development,16,3,3,Female,4,Research Director,4,Married,13744,1,Y,Yes,25,1,1,16,2,3,16,11,6,8,1
42,No,Non-Travel,Research & Development,16,4,3,Male,3,Research Scientist,3,Married,2936,3,Y,No,22,2,2,10,1,2,6,3,3,3,1
60,No,Travel_Rarely,Research & Development,11,3,1,Female,3,Manager,1,Married,19566,5,Y,No,11,4,0,33,5,1,29,8,11,10,0
34,No,Travel_Rarely,Research & Development,2,4,2,Female,4,Research Scientist,4,Single,3280,2,Y,No,16,3,0,10,2,3,4,2,1,3,0
24,Yes,Travel_Rarely,Human Resources,35,1,4,Male,1,Human Resources,3,Married,1555,1,Y,No,11,3,1,1,2,3,1,0,0,0,0
38,No,Travel_Rarely,Human Resources,2,3,3,Male,4,Human Resources,3,Married,2844,1,Y,No,13,4,1,7,2,4,7,6,5,0,0
40,No,Non-Travel,Research & Development,14,4,3,Male,3,Laboratory Technician,3,Divorced,3975,3,Y,No,11,3,2,11,2,4,8,7,0,7,0
44,Yes,Travel_Frequently,Research & Development,2,2,3,Male,3,Research Scientist,2,Divorced,2342,1,Y,Yes,12,3,3,6,2,2,5,3,2,3,0
46,No,Travel_Rarely,Research & Development,24,2,4,Male,3,Research Director,2,Married,19081,5,Y,No,11,1,1,25,2,3,4,2,0,3,0
35,No,Travel_Rarely,Human Resources,13,4,3,Male,3,Human Resources,3,Single,4323,1,Y,No,17,2,0,6,2,1,5,4,1,4,0
37,No,Travel_Rarely,Sales,5,3,3,Male,3,Sales Executive,4,Single,7428,2,Y,No,12,1,0,12,3,3,5,3,1,3,0
40,No,Travel_Frequently,Research & Development,14,4,2,Female,3,Research Director,3,Single,13499,9,Y,No,17,3,0,20,3,2,18,7,2,13,0
31,No,Travel_Frequently,Sales,8,3,4,Female,3,Sales Representative,2,Divorced,2789,1,Y,No,11,3,1,2,5,2,2,2,2,2,0
43,No,Travel_Rarely,Research & Development,11,3,3,Female,3,Healthcare Representative,1,Married,9985,8,Y,No,16,1,1,10,1,2,1,0,0,0,0
50,No,Travel_Frequently,Human Resources,5,3,1,Male,3,Manager,2,Married,18200,1,Y,No,11,3,1,32,2,1,32,5,10,7,0
